episode:1 obj:183.36255497382197
episode:2 obj:183.43816247321087
episode:3 obj:183.48886765206223
episode:4 obj:183.48886765206208
episode:5 obj:183.48886765206214
episode:6 obj:183.4888676520621
episode:7 obj:183.59550967322363
episode:8 obj:183.59911757757826
episode:9 obj:183.69744863389303
episode:10 obj:183.73737755901945
episode:11 obj:183.77925635064267
episode:12 obj:183.99598566204628
episode:13 obj:184.0380161501738
episode:14 obj:184.10798779494397
episode:15 obj:184.14815913869734
episode:16 obj:184.16628736827388
episode:17 obj:184.17718099499203
episode:18 obj:184.18896509046644
episode:19 obj:184.1931359042021
episode:20 obj:184.19458498301822
episode:21 obj:184.19521561767365
